요리명,조회수,조리방법,재료,인분수,난이도,조리시간,체크할 재료
가리비파피요트,3105,찜,가리비 7~8개| 마늘 1개| 레몬 1쪽| 대파 살짝  아스파라거스 약간| 파프리카 약간  올리브 오일 1T| 맛술 1T| 소금 1꼬집| 통후추·파슬리 약간,1인분,초급,15분이내,마늘 대파 파프리카 
가문어구이,1564,굽기,가문어 2개| 올리브유 조금| 후추 약간,1인분,아무나,10분이내,
가문어라면,2089,끓이기,라면 1봉지| 가문어 1주먹| 달걀 1개| 대파 1개| 솔방울 오징어 3개| 고춧가루 0.5스푼,1인분,아무나,30분이내,오징어 달걀 대파 라면 
가문어버터볶음,3035,볶음,가문다리 1+1/2마리| 버터 1작은큰술| 파마산치즈가루 솔솔| 파슬리가루 솔솔| 데리야끼소스 조금| 마요네즈 조금,1인분,아무나,10분이내,치즈 
가스파초,9631,데치기,완숙 토마토 400g| 오이 1개| 파프리카 1/3개| 양파 1/3개| 샐러리 줄기 1대| 식빵 슬라이스 2장  발사믹 식초 2Ts| 엑스트라버진 올리브 오일 1Ts| 소금 적당량| 플레인요구르트 약간(기호에맞게),1인분,아무나,15분이내,오이 양파 파프리카 빵 
가쓰동,29382,끓이기,시판용돈까스| 양파| 달걀| 올리브유  가쓰오간장| 소금| 후추,1인분,초급,30분이내,달걀 양파 
가쓰오부시라면,6478,끓이기,다진마늘 1Ts| 신라면 1봉지| 물 350ml| 우유 150ml| 가쓰오부시 1줌,1인분,아무나,5분이내,마늘 우유 라면 
가쓰오부시우동,2145,끓이기,우동면 1인분| 쑥갓 조금| 대파 조금| 김 조금| 액젓 조금| 국간장 조금  다시마 20g| 가쓰오부시 40g,1인분,아무나,30분이내,대파 
가쓰오우동,9412,끓이기,우동면 1인분| 손질새우 5마리| 오징어 50g| 바지락살 50g| 청경채 100g| 후추 1/3t  가쓰오부시 3g| 쯔유 1T| 파뿌리 2개| 다시마 4x 4cm 한조각| 물 400mL,1인분,초급,15분이내,오징어 새우 
가오나시김밥,10721,기타,밥 1공기| 단무지 1개| 맛살 1개| 우엉 2개| 달걀 2개| 김 1장  소금 1/3숟가락| 참기름 1숟가락,1인분,아무나,30분이내,달걀 무 
가오리찜,390,끓이기,가오리날개찜 1개| 게볶음 4개| 멸치칼국수 라면 1개| 물 400ml,1인분,아무나,15분이내,라면 
가와지쌀,134,기타,가와지 쌀 600g,1인분,아무나,30분이내,
가자미감자조림,9215,조림,가자미 1| 감자 1  고춧가루 3T| 올리고당 2| 간장 2| 다진마늘 1| 다진생강 1| 들기름 1| 매실액 3| 맛술 1| 물 2컵| 파| 청양고추,1인분,아무나,10분이내,마늘 고추 감자 
가자미구이,30349,굽기,가자미| 전분가루| 기름| 간장| 레몬,1인분,아무나,15분이내,
가자미멸치볶음밥,1522,볶음,가자미살 50g| 멸치작은한 줌| 통마늘 3알| 대파 적당량  고추기름 1/2큰술| 카놀라유 1/2큰술| 굴소스 1/2큰술| 후추 톡톡,1인분,아무나,15분이내,마늘 대파 고추 
가자미미역국,39611,끓이기,가자미 1마리| 미역 1웅큼| 국간장 2스푼| 마늘 1스푼,1인분,초급,15분이내,마늘 
가자미살멸치볶음밥,7338,볶음,가자미살 50g| 멸치 1줌| 통마늘 3개| 대파 1/3대| 밥 1공기  고추기름 1/2숟가락| 카놀라유 1/2숟가락| 굴소스 1/2숟가락| 후추 약간,1인분,초급,15분이내,마늘 대파 고추 
가자미순두부수제비,825,끓이기,가자미 100g| 순두부 1/2봉지| 관자 20g| 새우 20g| 순두부양념장 15g| 수제비 20g| 느타리버섯 20g| 표고버섯 1개| 대파 1/4뿌리| 물 500ml  청고추 1/2개| 홍고추 1/2개| 팽이버섯 1/3봉지| 달걀노른자 1개,1인분,아무나,15분이내,팽이버섯 표고버섯 달걀 대파 고추 새우 두부 
가자미식해비빔국수,3383,비빔,가자미 식해 2덩어리| 오이지 무침 2큰술| 짠지 무침 1큰술| 소면 1인분| 참기름 1작은술| 통깨 1작은술,1인분,아무나,15분이내,오이 무 
가자미조림,44610,조림,손질된 가자미 1마리| 당근 적당량| 샐러리 적당량  물(1컵=100ml) 3과1/2컵| 생강술 1/2컵| 설탕 1큰술| 간장 2큰술| 얇게 편썬 생강 4조각,1인분,아무나,15분이내,당근 
가자미치즈볼,4638,튀김,가자미 1마리| 모짜렐라 치즈+체다치즈 50g| 빨강 파프리카 1/2개| 노란파프리카 1/2개| 밀가루 50g| 새싹 20g| 구운 황태 10g| 소금 약간| 후추 약간  와사비 20g| 마요네즈 40g| 설탕 10g| 맛술 10g,1인분,초급,30분이내,치즈 파프리카 
가자미튀김덮밥,171,튀김,순살 가자미 1마리| 밥 1공기| 전분가루 3숟갈| 소금 1꼬집| 후추 1꼬집  양파 1/2개| 설탕 1숟갈| 진간장 2숟갈| 굴소스 1숟갈| 식초 1숟갈| 맛술 1숟갈| 다진마늘 1/2숟갈| 물 8숟갈,1인분,아무나,15분이내,마늘 양파 
가지,411,볶음,가지 1/2개| 양파 20g| 청량고추 1/2개| 밥 1인분 200g| 피자치즈 20g  버터 1T| 소금 약간| 후추 약간| 우유 100ml| 굴소스 1t| 통후추 갈아서 살짝,1인분,아무나,30분이내,치즈 가지 우유 양파 고추 
가지감바스,3961,굽기,가지 1개| 마늘 6~7개| 대파 흰부분 약 15cm 1대| 페퍼론치노 6~7개| 올리브유 60ml| 간장 1큰술,1인분,초급,15분이내,가지 마늘 대파 
가지강정,166,튀김,가지 1개| 굵은소금 1t| 고추장 2T| 케찹 2T| 올리고당 2T| 다진마늘 1/2T| 물 25ml| 참기름 1t| 통깨 약간| 식용유 적당량,1인분,초급,30분이내,가지 마늘 고추 
가지고기덮밥,907,볶음,다진 돼지고기 140g| 가지 1/2개| 굴소스 1큰술| 생강가루 1/2작은술| 다진 파 1큰술| 마늘 1큰술  두반장 2큰술| 치킨육수 130ml| 설탕 1작은술| 녹말물 녹말| 물 동량| 참기름 약간| 후추 약간| 고춧가루 기호껏,1인분,초급,30분이내,가지 마늘 돼지고기 
가지구이,16173,굽기,가지 1개  간장 2T| 참기름 0.5T| 식초 0.5T| 고춧가루 1T| 설탕 0.5T,1인분,아무나,15분이내,가지 
가지구이무침,3115,무침,가지 2개| 대파 10g  마늘 1 작은 술| 국간장 1 큰 술| 고춧가루 0.5 큰 술| 참기름 0.5 작은 술| 올리고당 0.5 작은 술| 깨소금 1 작은 술,1인분,아무나,10분이내,가지 마늘 대파 
가지그라탕,26899,굽기,가지 큰 것 1개(200g)| 양파 1/4개| 버섯 50g| 피망 1/4개| 베이컨 2줄  시판 스파게티 소스 5큰술| 피자치즈 80g| 올리브유 약간| 허브소금 약간,1인분,초급,30분이내,베이컨 치즈 가지 양파 
가지김밥,2793,기타,가지 2개| 날치알 2큰술| 레몬즙 1작은술| 밥 1공기| 다진양파 2큰술| 혼합야채 2큰술| 참기름 1작은술| 소금 약간| 후추 약간| 새싹 약간| 포도씨유 약간,1인분,초급,30분이내,가지 양파 
가지김치볶음밥,154,볶음,공기밥 200g| 가지 1개| 김치 100g| 간장 2T| 고춧가루 1T| 설탕 0.5T| 참기름 1T| 통깨 1T,1인분,아무나,30분이내,가지 김치 
가지깐풍기,1495,튀김,가지 1개| 타피오카가루 1테이블스푼| 튀김기름 적당량  진간장 1+1/2테이블스푼| 매실액 1테이블스푼| 올리브오일 1테이블스푼| 참치액 1티스푼| 페퍼론치노 3꼬집| 식초 1/2티스푼| 대파 약간,1인분,초급,30분이내,가지 대파 
가지꽈리고추무침,4992,무침,가지 2개| 꽈리고추 100g| 밀가루  간장 1숟가락| 고춧가루 1숟가락| 깨소금| 참기름  간장 1숟가락| 깨소금 약간 | 참기름,1인분,초급,30분이내,가지 고추 
가지나물,33686,무침,가지 2개  국간장 1스푼| 다진 마늘 0.5스푼| 깨소금 0.5스푼| 참기름 1스푼| 소금 약간,1인분,초급,15분이내,가지 마늘 
가지나물무침,10694,무침,가지 5개  간장 6스푼| 마늘 5톨| 파 1/2개| 깨소금| 미원 1꼬집| 홍고추,1인분,초급,10분이내,가지 마늘 고추 
가지날치알밥,80,기타,가지 1/2개| 크래미 1개| 베이컨 2줄| 양파 1/4개| 날치알 30g| 단무지 30g| 참기름 약간,1인분,아무나,15분이내,베이컨 가지 양파 무 
가지냉국,11446,끓이기,가지 1개 | 쪽파 1뿌리| 홍고추 1개| 통깨 1큰술| 집간장 1스푼| 얼음 1줌| 마른표고버섯 2개| 양파 1/2개| 멸치 10마리| 다시마 1쪽,1인분,아무나,10분이내,표고버섯 가지 양파 고추 
가지덮밥,244990,조림,가지 1개(약 24cm)  간장 1T| 설탕 1T| 청주 1T| 미림 1T| 물 1T,1인분,초급,15분이내,가지 
가지된장국,561,끓이기,가지 100g| 애호박 50g| 무 50g| 물 400ml| 다진파 1줌| 청양고추  된장 1T| 간마늘 1t| 멸치가루 1T,1인분,아무나,30분이내,가지 마늘 고추 무 애호박 
가지된장덮밥,12456,볶음,가지 1개| 파 1개| 두부 1/3모  된장 1T| 설탕(매실청) 1T| 고춧가루 0.5T| 전분가루 0.5T| 코코넛오일 1T,1인분,아무나,10분이내,가지 두부 
가지두반장볶음덮밥,6137,볶음,가지 1개| 양파 1/2개| 느타리버섯 약간| 식용유 약간| 육수 1컵| 전분물 1~2큰술| 소세지(선택)  두반장 1/2~1큰술| 소금 약간| 후추 약간| 올리고당 약간| 참기름 약간| 참깨 약간씩,1인분,초급,15분이내,가지 양파 
가지두부굴소스볶음볶음,18598,볶음,두부 1/2모| 가지 1개  간장 1큰술| 청주 1큰술| 두반장 1작은술| 굴소스 1작은술| 물 1큰술| 후추 약간| 다진마늘 1작은술| 설탕 1/2큰술| 식초 1/2큰술,1인분,초급,30분이내,가지 마늘 두부 
가지두부된장덮밥,1245,볶음,두부 1/2모| 가지 1개| 식용유 3T  된장 1T| 매실액 1T| 다진 마늘 1/2T| 생수 3T,1인분,아무나,10분이내,가지 마늘 두부 
가지들깨가루무침,7613,무침,가지 1개| 간장 1Ts| 들깨가루 2Ts,1인분,아무나,10분이내,가지 
가지등심카나페,180,굽기,소고기등심| 새싹채소| 가지 1개  간장 4T| 레몬즙 2T| 올리고당 2T| 다진마늘 1T| 청양고추 0.5T,1인분,초급,60분이내,가지 마늘 고추 소고기 
가지라자냐,7543,기타,가지(大) 1개| 양파 1/2개| 파프리카 1/4개| 피자치즈 1/2컵  다진마늘 1/3큰술| 케찹 1/2컵| 간장 1큰술| 식초 1/3큰술| 설탕 1/3큰술,1인분,초급,15분이내,치즈 가지 마늘 양파 파프리카 
가지롤,4668,부침,가지 1.5개| 달걀 1개| 소금 1/3티스푼| 포도씨유 1큰술  밥 1공기| 참깨 1/2큰술| 참기름 1/2큰술| 주먹밥용토핑 또는 소금 1티스푼,1인분,초급,30분이내,달걀 가지 
가지롤라티니,2325,굽기,가지 2개| 체다치즈 3장| 모짜렐라치즈 1/2종이컵| 소고기불고기용 1종이컵| 토마토스파게티소스 1종이컵,1인분,아무나,30분이내,치즈 가지 소고기 
가지롤밥,4467,굽기,가지 1개| 밥(햇반) 1공기| 소고기쌈장 3~4숟가락| 소금 2꼬짐| 참기름/들기름 1숟가락  다진소고기 2숟가락| 표고버섯 1개| 설탕 2꼬짐| 된장 1숟가락| 고추장 1/3숟가락| 다진마늘 2/3숟가락정도| 참깨 1/2숟가락| 올리고당 1/2숟가락,1인분,아무나,30분이내,표고버섯 가지 마늘 고추 소고기 
가지마파두부,403,끓이기,두부 1/6모| 양파 1스푼| 가지 50g| 대파 약간| 전분 1스푼| 된장 1스푼,1인분,초급,5분이내,가지 대파 양파 두부 
가지마파두부덮밥,8735,끓이기,두부 1/2모| 가지 1/2개| 식용유 2~3큰술| 다진파 3큰술| 다진양파 2큰술| 다진마늘 1/2큰술| 고춧가루 1큰술| 파프리카(피망/고추)| 굴소스 1/2큰술| 두반장 1.5큰술| 소금(국간장)| 물(육수) 2/3컵| 물전분 1~2큰술  물 2큰술| 전분 1큰술,1인분,아무나,15분이내,가지 마늘 양파 파프리카 고추 두부 
가지말이볶음밥,2470,볶음,다진 양파 1줌| 다진 당근 2스푼| 다진 청양고추 1스푼| 다진 돼지고기 1/2줌| 밥 1그릇| 얇게 슬라이스한 가지 12장(보통크기 가지 1개분량)| 감장아찌| 통깨 약간  다진마늘 1스푼| 청주| 소금| 후추 약간,1인분,초급,30분이내,당근 가지 마늘 양파 고추 돼지고기 
가지말이쌈밥,2416,기타,가지 (큰 것) 1개| 통조림 햄 1캔| 밥 1| 소금 약간  들기름 1t| 소금 2~3 꼬집| 깨소금 1T,1인분,아무나,15분이내,가지 
가지무침,10671,무침,가지 1개| 대파 1/2개| 청양고추 1개| 다진 마늘 1/2Ts| 간장 2Ts| 설탕 1Ts| 고춧가루 1Ts| 소금 1꼬집| 후춧가루 1꼬집| 참기름 1/2Ts,1인분,아무나,30분이내,가지 마늘 대파 고추 
가지무침덮밥,968,찜,가지 1개| 밥 1공기  다진마늘 1스푼| 간장 1스푼| 대파 약간| 설탕 1/3스푼| 참기름 1/2스푼| 통깨 적당히,1인분,아무나,15분이내,가지 마늘 대파 
가지밥,28529,끓이기,가지 1개| 쌀 1인분| 식용유 1/4컵| 간장 2작은술| 대파 약간  실파 2큰술| 고추가루 1큰술| 설탕 1/4작은술| 참기름 1작은술| 청양고추 1개| 깨 갈아서 1큰술| 간장 재료가자박자박할때까지,1인분,초급,30분이내,가지 대파 고추 
가지밥롤,7285,기타,참드림쌀 밥 1공기| 가지 2개| 들기름 1/2t  간장 1작은술| 고춧가루 1/2t| 들기름 1/2t| 볶은참깨 약간  부추 약간,1인분,초급,30분이내,부추 가지 
가지버섯솥밥,937,기타,가지 1개| 쌀 1컵| 물 1컵| 청양고추 2개  참치액| 간장| 통깨| 참기름| 파,1인분,아무나,30분이내,가지 고추 
가지버섯푸실리파스타,946,기타,가지 1개| 송이버섯 1/2개| 베이컨 1장| 푸실리 1줌  다진마늘 1스푼| 올리브유 적당히| 후추 약간| 허브솔트 약간,1인분,아무나,10분이내,베이컨 가지 마늘 
가지버터구이,4375,굽기,가지 1개| 루어팍버터  소금| 후추,1인분,아무나,15분이내,가지 
가지베이컨말이,21407,굽기,베이컨 5줄| 편으로 썬 가지 5개| 버터 조금| 머스터드소스,1인분,아무나,15분이내,베이컨 가지 
가지보트그라탕,4748,굽기,가지 1개| 감자 2개| 아기새송이버섯 2개| 방울토마토 2개| 캔옥수수 1스푼| 모짜렐라치즈 약간  소금| 설탕| 후추| 맛소금,1인분,초급,30분이내,치즈 가지 새송이버섯 감자 
가지보트피자,10749,굽기,가지 1개| 슬라이스치즈 1장| 모짜렐라슬라이스치즈 1장| 옥수수콘| 양파| 햄  케첩 2스푼| 파마산치즈가루| 파슬리가루| 소금,1인분,아무나,15분이내,치즈 가지 양파 
가지볶음,24015,볶음,가지 1개| 양파 1/2개| 대파 조금  간장 1큰술| 굴소스 1/2큰술| 올리고당 조금| 참기름 조금| 깨소금 조금,1인분,초급,15분이내,가지 대파 양파 
가지볶음면,1419,볶음,가지 1/2개| 라면 1개| 닭가슴살 1덩어리| 달걀 1개| 파 1/4대  라면스프 1/4T| 고춧가루 1T| 간장 2T| 설탕 1T| 마늘 1T| 참기름 1t| 후추 1/2t| 두반장 1/2T  깨 1꼬집,1인분,아무나,15분이내,닭 달걀 가지 마늘 라면 
가지볶음밥,31987,볶음,가지 1/2토막| 삼겹살 1/2줄| 굴소스 1큰술| 카놀라유 적당량| 통깨 솔솔,1인분,아무나,15분이내,가지 
가지불고기샌드위치,1051,볶음,호밀빵 2쪽| 가지 1개| 불고기 100그램| 토마토 1/2개| 머스터드소스| 발사믹크림| 소금 약간,1인분,고급,30분이내,가지 
가지새우전,10961,부침,가지 1개| 새우 50g| 부침가루 1T| 튀김가루 2T| 달걀 1개  간장 2T| 식초 1T| 참깨 약간| 고추가루 약간,1인분,초급,15분이내,달걀 가지 고추 새우 
가지샌드위치,1611,볶음,식빵 2장| 가지 1/2개| 호박 1/6개| 체더치즈 2장| 양파 1/2개| 머스터드소스 3스푼  올리브유 2스푼| 소금 약간| 후춧가루 적당량  발사믹 식초 1스푼| 소금 약간| 후춧가루 약간,1인분,아무나,30분이내,치즈 가지 양파 빵 
가지샐러드,1937,굽기,가지 1개| 양상추 100g| 방울토마토 6개| 아보카도 1개| 발사믹식초 2T| 올리브오일 2T| 꿀 1T| 양파 1T| 다진마늘 1t| 죽염 조금,1인분,초급,30분이내,가지 마늘 상추 양파 
가지속부추전,557,부침,가지 1/2개| 부추 1줌| 부추페스토| 감자전분| 달걀 1개| 소금| 후추| 식용유  쌈채소샐러드| 방울토마토| 소금후추| 올리브오일| 부추페스토,1인분,중급,30분이내,부추 달걀 가지 감자 
가지쇠고기샌드위치튀김,4454,튀김,쇠고기| 가지| 달걀| 빵가루| 밀가루  소금| 스테이크 소스  소금| 후추| 카레 약간,1인분,초급,30분이내,달걀 가지 소고기 
가지스크램블에그,916,볶음,식빵 1개| 가지 1/2개| 달걀 2개| 양파 원형 슬라이스 1개| 우유 2큰술| 소금 약간| 후추 약간| 파슬리가루 약간| 버터 약간,1인분,아무나,15분이내,달걀 가지 우유 양파 빵 
가지스테이크,1466,굽기,가지 1개| 밀가루 4T| 감자전분 1ts| 물 40g| 파 30g| 소고기 양지 65g| 소금 약간| 후추 약간| 깨 약간| 올리브유 적당량| 진간장 2큰술| 매실효소 2큰술| 고춧가루 1/2큰술,1인분,초급,30분이내,가지 소고기 감자 
가지야채볶음밥,1436,볶음,가지 1개| 파프리카 1/2개| 애호박 1/2개| 양배추 1/4개| 아보카도 오일 1큰술| 파 1개| 굴소스 1큰술| 간장 1큰술| 후추 조금| 깨 조금| 찬밥 1인분,1인분,초급,30분이내,양배추 가지 배추 파프리카 배 애호박 
가지양념구이,4594,굽기,가지 1개| 버터 20g| 파마산치즈가루 약간| 파슬리가루 약간  다진대파 2T| 진간장 1.5T| 물 1.5T| 설탕 0.5T| 고추가루 0.5T,1인분,아무나,10분이내,치즈 가지 대파 고추 
가지엔쵸비리가토니파스타,678,볶음,리가토니 파스타면 200g| 가지 1개| 올리브 30g| 엔쵸비 1개| 마늘 1알| 토마토 퓨레 400g| 오레가노 1t| 페퍼론치노 10개| 바질 10장| 소금 1/5t| 올리브오일 8T| 페코리노 치즈 조금,1인분,초급,30분이내,치즈 가지 마늘 파스타 
